,RMT_Max_Eigen
2019-05-09,12.254606459851871
2019-05-10,12.352656076112035
2019-05-13,12.453330013191664
2019-05-14,12.477864953886682
2019-05-15,12.454935110109275
2019-05-16,11.94222748113841
2019-05-17,11.227026769139863
2019-05-20,11.192173161478395
2019-05-21,11.095661639033224
2019-05-22,10.967499596917419
2019-05-23,10.705385617621754
2019-05-24,10.665675987641622
2019-05-27,10.559340276516275
2019-05-28,10.601277981841719
2019-05-29,10.648453476501842
2019-05-30,10.650599937492238
2019-05-31,10.51487588661283
2019-06-03,10.79299428443687
2019-06-04,10.75959398787986
2019-06-05,10.506060287465036
2019-06-06,11.101012604449895
2019-06-07,11.111240714889455
2019-06-10,11.167488030333002
2019-06-11,11.276541988788498
2019-06-12,10.938951572048312
2019-06-13,10.9012998214957
2019-06-14,10.665813863562395
2019-06-17,10.594214552468847
2019-06-18,10.586493502439794
2019-06-19,10.471948699330502
2019-06-20,10.829348866299568
2019-06-21,10.824853655169465
2019-06-24,10.873480029224858
2019-06-25,11.00413603844552
2019-06-26,10.203702520673115
2019-06-27,9.456250479258514
2019-06-28,9.847564491546928
2019-07-01,9.57802152332946
2019-07-02,10.272615551771779
2019-07-03,9.945322476451699
2019-07-04,10.13691363333434
2019-07-05,10.161811354043392
2019-07-08,10.198577904013765
2019-07-09,10.222776287477407
2019-07-10,10.175996589474343
2019-07-11,10.237313250604778
2019-07-12,10.165361242235692
2019-07-16,10.238371419509672
2019-07-17,10.272414943468387
2019-07-18,9.97844174127603
2019-07-19,10.472602129639844
2019-07-22,11.103147951993806
2019-07-23,11.167784342235162
2019-07-24,11.452087103685082
2019-07-25,11.485879513123495
2019-07-26,11.333691052660644
2019-07-29,11.293428062873126
2019-07-30,11.339416161837935
2019-07-31,11.39101483579267
2019-08-01,11.881413881717435
2019-08-02,11.226251261707985
2019-08-05,11.731971578162502
2019-08-06,12.3042099941102
2019-08-07,12.304645636586722
2019-08-08,12.337279366862099
2019-08-09,12.349549937095166
2019-08-13,12.538159952005744
2019-08-14,12.63630916585459
2019-08-15,12.871862810110104
2019-08-16,13.167538469255092
2019-08-19,13.125863633930717
2019-08-20,13.152453760785345
2019-08-21,13.34770362908726
2019-08-22,13.340438848870306
2019-08-23,13.331588210115022
2019-08-26,13.29306238941097
2019-08-27,13.82878602432963
2019-08-28,13.716343344511667
2019-08-29,13.689482262603772
2019-08-30,13.950613803912114
2019-09-02,13.684645516935166
2019-09-03,13.736158812456617
2019-09-04,13.639297351001016
2019-09-05,13.475653097951295
2019-09-06,13.808977647877013
2019-09-09,13.747190263148136
2019-09-10,13.760755791078468
2019-09-11,13.317262323645085
2019-09-12,13.355299644983965
2019-09-13,13.2807765632863
2019-09-17,12.943998288180609
2019-09-18,12.89777060386284
2019-09-19,12.84210219233261
2019-09-20,12.819472998601693
2019-09-24,12.726697363311072
2019-09-25,12.607720395042351
2019-09-26,12.345091712278741
2019-09-27,12.309342167761793
2019-09-30,11.760397152583884
2019-10-01,11.90615526589114
2019-10-02,12.005006422490096
2019-10-03,11.94893874355325
2019-10-04,12.294514267300974
2019-10-07,12.253404284082833
2019-10-08,12.268297285772807
2019-10-09,12.35335286241826
2019-10-10,12.398943596483258
2019-10-11,12.441074149886925
2019-10-15,12.55899602310501
2019-10-16,12.877930290163198
2019-10-17,12.499054340881187
2019-10-18,12.127270262708546
2019-10-21,12.134393905459959
2019-10-23,12.074735002214826
2019-10-24,11.981136377920283
2019-10-25,12.087374394058534
2019-10-28,12.08236820833738
2019-10-29,12.134227759209558
2019-10-30,12.250410794567138
2019-10-31,12.167631580754287
2019-11-01,12.191808736308841
2019-11-05,11.221325910985309
2019-11-06,10.899635164957225
2019-11-07,10.739373242488321
2019-11-08,10.750320867143248
2019-11-11,10.650543262376107
2019-11-12,10.5794326859665
2019-11-13,10.194231108809777
2019-11-14,10.236080705185158
2019-11-15,10.06190715274844
2019-11-18,10.10930201556806
2019-11-19,10.134296111570334
2019-11-20,10.158126653609868
2019-11-21,10.17608504052557
2019-11-22,10.162369843292913
2019-11-25,10.169535372964168
2019-11-26,9.527275036177638
2019-11-27,9.473677053990263
2019-11-28,9.466150555870554
2019-11-29,9.477517379013289
2019-12-02,9.33215022771612
2019-12-03,9.427578175912716
2019-12-04,9.516743252486197
2019-12-05,9.545157222697997
2019-12-06,9.155805996354344
2019-12-09,9.267421221421117
2019-12-10,9.244611181862593
2019-12-11,9.440787229598037
2019-12-12,9.212330531494631
2019-12-13,9.246804855007094
2019-12-16,9.876836726418688
2019-12-17,9.995312128828523
2019-12-18,9.943909745984987
2019-12-19,10.026894497564154
2019-12-20,10.06965582837474
2019-12-23,10.311506047941153
2019-12-24,10.408730531681226
2019-12-25,10.497719819883933
2019-12-26,10.349488803874435
2019-12-27,10.197620958516799
2019-12-30,10.106775839853556
2020-01-06,10.23036556384529
2020-01-07,9.962926234952604
2020-01-08,10.31819727309685
2020-01-09,10.806233599745884
2020-01-10,11.309963106748741
2020-01-14,11.130594445627704
2020-01-15,11.143064305093839
2020-01-16,11.21176004525611
2020-01-17,10.781251090530159
2020-01-20,10.641212655250653
2020-01-21,10.567318145362819
2020-01-22,10.712099236458679
2020-01-23,10.673255201157989
2020-01-24,10.979860526121142
2020-01-27,11.02228313414298
2020-01-28,11.673905318926865
2020-01-29,11.888873312924357
2020-01-30,11.88562525057585
2020-01-31,12.271574810355995
2020-02-03,12.442936221908841
2020-02-04,12.833896981678869
2020-02-05,12.48748327969612
2020-02-06,12.776329888254853
2020-02-07,14.128523367766169
2020-02-10,14.25129505853429
2020-02-12,14.318993791709387
2020-02-13,14.080582053798183
2020-02-14,13.942230035595633
2020-02-17,13.944538733034479
2020-02-18,13.927397592328115
2020-02-19,14.101315272340937
2020-02-20,14.030514508281799
2020-02-21,13.81038353315563
2020-02-25,13.771341583644409
2020-02-26,15.259378639055074
2020-02-27,15.125472326058015
2020-02-28,15.697762688570446
2020-03-02,17.064049329842423
2020-03-03,16.713834134676123
2020-03-04,16.825451330246647
2020-03-05,16.310361133245944
2020-03-06,16.39889540623041
2020-03-09,16.900132388410757
2020-03-10,18.631377803003815
2020-03-11,18.613080299236763
2020-03-12,18.526585286686032
2020-03-13,19.33335005287672
2020-03-16,19.996066217363396
2020-03-17,19.827915512408943
2020-03-18,19.10313533161572
2020-03-19,18.292587222274303
2020-03-23,16.826619828341283
2020-03-24,16.16122450161099
2020-03-25,16.475047895142144
2020-03-26,18.175044514778282
2020-03-27,17.985896943267765
2020-03-30,18.359492380325353
2020-03-31,18.215962842963165
2020-04-01,18.087805194056138
2020-04-02,18.289353175367964
2020-04-03,18.21379260471152
2020-04-06,18.170912951938043
2020-04-07,18.5403944711015
2020-04-08,18.49190223242414
2020-04-09,18.369298521587847
2020-04-10,18.33494181157019
2020-04-13,18.289136003893404
2020-04-14,18.30322101349171
2020-04-15,18.44785094542056
2020-04-16,18.373704453274982
2020-04-17,18.37398130736737
2020-04-20,18.375700569583852
2020-04-21,18.335683962879816
2020-04-22,18.307478467214114
2020-04-23,18.26638142732988
2020-04-24,18.2028158139011
2020-04-27,18.18763545912377
2020-04-28,18.152584122546216
2020-04-30,18.10773090216685
2020-05-01,17.92680948723665
2020-05-07,17.991356977012337
2020-05-08,17.911635336753527
2020-05-11,17.876085552406693
2020-05-12,17.64710759525968
2020-05-13,17.59791816032607
2020-05-14,17.557978339752797
2020-05-15,17.546179215102445
2020-05-18,17.545035697036045
2020-05-19,17.49055231623714
2020-05-20,17.489063549504202
2020-05-21,17.480094466985737
2020-05-22,17.476283798642093
2020-05-25,17.53449490651395
2020-05-26,17.578637306617665
2020-05-27,17.478428476859975
2020-05-28,17.466298774312524
2020-05-29,17.475197066189963
2020-06-01,17.138381334991323
2020-06-02,17.130307610182296
2020-06-03,17.049373414749702
2020-06-04,17.082192348703728
2020-06-05,17.05373875667629
2020-06-08,16.93259473774074
2020-06-09,16.17309000679581
2020-06-10,16.18191658420054
2020-06-11,16.150517779611246
2020-06-12,15.780482294014233
